SUMLEV,COUNTY,COUSUB,CT,BLKGRP,BLOCK,NAME,geoid20,Neighborhood,NeighborhoodGroup
750,3,61000,562700,2,2000,Block 2000,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2001,Block 2001,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2002,Block 2002,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2003,Block 2003,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2004,Block 2004,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2005,Block 2005,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2006,Block 2006,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2007,Block 2007,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2008,Block 2008,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2009,Block 2009,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,2,2010,Block 2010,4.20036E+14,Allegheny Center,Allegheny Center
750,3,61000,562700,1,1000,Block 1000,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1001,Block 1001,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1002,Block 1002,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1003,Block 1003,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1004,Block 1004,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1005,Block 1005,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1006,Block 1006,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1007,Block 1007,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1008,Block 1008,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1009,Block 1009,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1010,Block 1010,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1011,Block 1011,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1012,Block 1012,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1013,Block 1013,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1014,Block 1014,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1015,Block 1015,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1016,Block 1016,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1017,Block 1017,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1018,Block 1018,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1019,Block 1019,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1020,Block 1020,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1021,Block 1021,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1022,Block 1022,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1023,Block 1023,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,562700,1,1024,Block 1024,4.20036E+14,Allegheny West,Allegheny West
750,3,61000,180300,1,1000,Block 1000,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1001,Block 1001,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1002,Block 1002,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1003,Block 1003,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1004,Block 1004,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1005,Block 1005,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1006,Block 1006,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1007,Block 1007,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1008,Block 1008,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1009,Block 1009,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1010,Block 1010,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1011,Block 1011,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1012,Block 1012,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1013,Block 1013,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1014,Block 1014,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1015,Block 1015,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1016,Block 1016,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1017,Block 1017,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1018,Block 1018,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1019,Block 1019,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1020,Block 1020,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1021,Block 1021,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1022,Block 1022,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1023,Block 1023,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1024,Block 1024,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1025,Block 1025,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1026,Block 1026,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1027,Block 1027,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1028,Block 1028,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1029,Block 1029,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1030,Block 1030,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1031,Block 1031,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1032,Block 1032,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1033,Block 1033,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1034,Block 1034,4.20032E+14,Allentown,Allentown
750,3,61000,180300,1,1035,Block 1035,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2000,Block 2000,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2001,Block 2001,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2002,Block 2002,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2003,Block 2003,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2004,Block 2004,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2005,Block 2005,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2006,Block 2006,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2007,Block 2007,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2008,Block 2008,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2009,Block 2009,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2010,Block 2010,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2011,Block 2011,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2012,Block 2012,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2013,Block 2013,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2014,Block 2014,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2015,Block 2015,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2016,Block 2016,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2017,Block 2017,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2018,Block 2018,4.20032E+14,Allentown,Allentown
